,start,stop,strand,gene_name,length,operon,cog
b4594,1223263,1223449,+,ymgJ,186,ymgJ,No COG Annotation
b4521_1,1223563,1223671,+,ycgI_1,108,ycgI_1,No COG Annotation
b4521_2,1223670,1223907,+,ycgI_2,237,ycgI_2,No COG Annotation
b1174,1224278,1224545,-,minE,267,minCDE,"Cell cycle control, cell division, chromosome partitioning"
b1175,1224548,1225361,-,minD,813,minCDE,"Cell cycle control, cell division, chromosome partitioning"
b1176,1225384,1226080,-,minC,696,minCDE,"Cell cycle control, cell division, chromosome partitioning"
b1177,1226599,1226968,+,ycgJ,369,ycgJ,Function unknown
b1178,1227070,1227472,-,pliG,402,pliG,Function unknown
b1179,1227713,1228007,+,ycgL,294,ycgL,Function unknown
b1180,1228078,1228738,+,ycgM,660,ycgM,"Secondary metabolites biosynthesis, transport and catabolism"
b1181,1228814,1229276,+,ycgN,462,ycgN,Function unknown
b1182,1229482,1230394,-,hlyE,912,hlyE,"Cell cycle control, cell division, chromosome partitioning"
b1183,1230766,1231186,+,umuD,420,umuDC,Transcription
b1184,1231185,1232454,+,umuC,1269,umuDC,"Replication, recombination and repair"
b1185,1232499,1233030,-,dsbB,531,dsbB,"Posttranslational modification, protein turnover, chaperones"
b1186,1233175,1234717,-,nhaB,1542,nhaB,Inorganic ion transport and metabolism
b1187,1234937,1235657,+,fadR,720,fadR,Transcription
b1188,1235708,1237241,-,ycgB,1533,ycgB,Function unknown
b1189,1237570,1238869,+,dadA,1299,dadAX,Amino acid transport and metabolism
b1190,1238878,1239949,+,dadX,1071,dadAX,Cell wall/membrane/envelope biogenesis
b1191,1240334,1242071,-,cvrA,1737,cvrA,Inorganic ion transport and metabolism
b1192,1242165,1243080,-,ldcA,915,ldcA,Defense mechanisms
b1193,1243179,1243791,+,emtA,612,emtA,Cell wall/membrane/envelope biogenesis
b1194,1243792,1244527,-,ycgR,735,ycgR,Cell wall/membrane/envelope biogenesis
b1195,1244727,1244982,+,ymgE,255,ymgE,Function unknown
b1196,1245159,1245600,+,ycgY,441,ycgY,No COG Annotation
b1197,1245678,1247376,-,treA,1698,treA,Carbohydrate transport and metabolism
b1198,1247695,1249114,-,dhaM,1419,dhaKLM,Carbohydrate transport and metabolism
b1199,1249124,1249757,-,dhaL,633,dhaKLM,Carbohydrate transport and metabolism
b1200,1249767,1250838,-,dhaK,1071,dhaKLM,Carbohydrate transport and metabolism
b1201,1251065,1252985,+,dhaR,1920,dhaR,Transcription
b1202,1253084,1255952,-,ycgV,2868,ycgV,Cell wall/membrane/envelope biogenesis
b1203,1256720,1257812,-,ychF,1092,pth-ychF,"Translation, ribosomal structure and biogenesis"
b1204,1257928,1258513,-,pth,585,pth-ychF,"Translation, ribosomal structure and biogenesis"
b1205,1258790,1259069,+,ychH,279,ychH,Function unknown
b1206,1259123,1260803,-,dauA,1680,dauA,Inorganic ion transport and metabolism
b1207,1260927,1261875,-,prs,948,lolB-ispE-prs,Nucleotide transport and metabolism
b1208,1262025,1262877,-,ispE,852,lolB-ispE-prs,Lipid transport and metabolism
b1209,1262876,1263500,-,lolB,624,lolB-ispE-prs,Cell wall/membrane/envelope biogenesis
b1210,1263713,1264970,+,hemA,1257,hemA-prfA-prmC,Coenzyme transport and metabolism
b1211,1265011,1266094,+,prfA,1083,hemA-prfA-prmC,"Translation, ribosomal structure and biogenesis"
b1212,1266093,1266927,+,prmC,834,hemA-prfA-prmC,"Translation, ribosomal structure and biogenesis"
b1213,1266923,1267316,+,ychQ,393,ychQA-kdsA,Function unknown
b1214,1267319,1268129,+,ychA,810,ychQA-kdsA,Function unknown
b1215,1268164,1269019,+,kdsA,855,ychQA-kdsA,Cell wall/membrane/envelope biogenesis
b4419,1269167,1269275,-,ldrA,108,ldrA,No COG Annotation
b4421,1269702,1269810,-,ldrB,108,ldrB,No COG Annotation
b4423,1270237,1270345,-,ldrC,108,ldrC,No COG Annotation
b1216,1270748,1271849,-,chaA,1101,chaA,Inorganic ion transport and metabolism
b1217,1272118,1272349,+,chaB,231,chaBC,Function unknown
b1218,1272506,1273202,+,chaC,696,chaBC,Inorganic ion transport and metabolism
b1219,1273245,1273599,-,ychN,354,ychN,Inorganic ion transport and metabolism
b1220,1273783,1275178,+,ychO,1395,ychO,Function unknown
b1221,1275178,1275829,-,narL,651,narXL,Signal transduction mechanisms
b1222,1275821,1277618,-,narX,1797,narXL,Signal transduction mechanisms
b1223,1277956,1279348,+,narK,1392,narK,Inorganic ion transport and metabolism
b1224,1279863,1283607,+,narG,3744,narGHJI,Energy production and conversion
b1225,1283603,1285142,+,narH,1539,narGHJI,Energy production and conversion
b1226,1285138,1285849,+,narJ,711,narGHJI,Energy production and conversion
b1227,1285848,1286526,+,narI,678,narGHJI,Energy production and conversion
b1229,1287086,1287176,-,tpr,90,tyrTV-tpr,No COG Annotation
b1232,1287781,1288624,-,purU,843,purU,Nucleotide transport and metabolism
b1233,1288673,1289132,-,ychJ,459,ychJ,Function unknown
b1234,1289244,1290150,+,rssA,906,rssAB,Function unknown
b1235,1290241,1291255,+,rssB,1014,rssAB,Signal transduction mechanisms
b1236,1291456,1292365,+,galU,909,galU,Cell wall/membrane/envelope biogenesis
b1237,1292508,1292922,-,hns,414,hns,Function unknown
b1238,1293526,1294144,+,tdk,618,tdk,Nucleotide transport and metabolism
b4573_3,1294425,1294992,-,insZ_3,567,insZ_3,No COG Annotation
b4573_2,1294991,1295141,-,insZ_2,150,insZ_2,No COG Annotation
b4573_1,1295139,1295322,-,insZ_1,183,insZ_1,No COG Annotation
b1241,1295445,1298121,-,adhE,2676,adhE,Energy production and conversion
b1242,1298597,1299245,+,ychE,648,ychE,"Intracellular trafficking, secretion, and vesicular transport"
b1243,1301181,1302813,+,oppA,1632,oppABCDF,Amino acid transport and metabolism
b1244,1302898,1303819,+,oppB,921,oppABCDF,Inorganic ion transport and metabolism
b1245,1303833,1304742,+,oppC,909,oppABCDF,Inorganic ion transport and metabolism
b1246,1304753,1305767,+,oppD,1014,oppABCDF,Amino acid transport and metabolism
b1247,1305763,1306768,+,oppF,1005,oppABCDF,Amino acid transport and metabolism
b1248,1306820,1307150,-,yciU,330,clsA-yciU,Function unknown
b1249,1307184,1308645,-,clsA,1461,clsA-yciU,Lipid transport and metabolism
b4595,1308787,1308961,+,yciY,174,yciY,Function unknown
b1250,1309015,1310269,-,kch,1254,kch,Inorganic ion transport and metabolism
b1251,1310568,1310865,-,yciI,297,yciI,Function unknown
b1252,1311088,1311808,+,tonB,720,tonB,Cell wall/membrane/envelope biogenesis
b1253,1311847,1312246,-,yciA,399,yciA,Lipid transport and metabolism
b1254,1312350,1312890,-,yciB,540,yciCB,"Cell cycle control, cell division, chromosome partitioning"
b1255,1312919,1313663,-,yciC,744,yciCB,Function unknown
b1256,1314019,1314658,+,ompW,639,ompW,Cell wall/membrane/envelope biogenesis
b1257,1314717,1315224,-,yciE,507,yciGFE,Function unknown
b1258,1315269,1315770,-,yciF,501,yciGFE,Function unknown
b1259,1315855,1316035,-,yciG,180,yciGFE,Function unknown
b1260,1316415,1317222,-,trpA,807,trpLEDCBA,Amino acid transport and metabolism
b1261,1317221,1318415,-,trpB,1194,trpLEDCBA,Amino acid transport and metabolism
b1262,1318426,1319788,-,trpC,1362,trpLEDCBA,Amino acid transport and metabolism
b1263,1319788,1321384,-,trpD,1596,trpLEDCBA,Amino acid transport and metabolism
b1264,1321383,1322946,-,trpE,1563,trpLEDCBA,Amino acid transport and metabolism
b1265,1323037,1323082,-,trpL,45,trpLEDCBA,No COG Annotation
b1266,1323219,1324101,+,yciV,882,yciVOQ,Function unknown
b1267,1324097,1324718,+,yciO,621,yciVOQ,"Translation, ribosomal structure and biogenesis"
b1268,1324745,1326641,+,yciQ,1896,yciVOQ,Function unknown
b1269,1326851,1327727,+,rluB,876,rluB,"Translation, ribosomal structure and biogenesis"
b1270,1327766,1328357,-,btuR,591,yciK-btuR,Coenzyme transport and metabolism
b1271,1328353,1329112,-,yciK,759,yciK-btuR,Function unknown
b1272,1329331,1330381,+,sohB,1050,sohB,"Posttranslational modification, protein turnover, chaperones"
b1273,1330416,1330668,-,yciN,252,yciN,Function unknown
b1274,1331047,1333645,+,topA,2598,topA,"Replication, recombination and repair"
b1275,1333854,1334829,+,cysB,975,cysB,Transcription
b4522,1335123,1335288,+,ymiA,165,ymiA-yciX,No COG Annotation
b4523,1335290,1335458,+,yciX,168,ymiA-yciX,No COG Annotation
b1276,1335830,1338506,+,acnA,2676,acnA,Energy production and conversion
b1277,1338569,1339160,-,ribA,591,ribA,Coenzyme transport and metabolism
b1278,1339329,1340094,+,pgpB,765,pgpB,Lipid transport and metabolism
b1279,1340242,1340551,+,yciS,309,lapAB-pyrF-yciH,Function unknown
b1280,1340557,1341727,+,yciM,1170,lapAB-pyrF-yciH,Carbohydrate transport and metabolism
b1281,1341920,1342658,+,pyrF,738,lapAB-pyrF-yciH,Nucleotide transport and metabolism
b1282,1342657,1342984,+,yciH,327,lapAB-pyrF-yciH,"Translation, ribosomal structure and biogenesis"
b1283,1343109,1343328,-,osmB,219,osmB,No COG Annotation
b1284,1343596,1344346,-,yciT,750,yciZT,Transcription
b4596,1344435,1344609,-,yciZ,174,yciZT,Function unknown
b1285,1344756,1346742,-,gmr,1986,pdeR,Signal transduction mechanisms
b4672,1346795,1346900,+,ymiB,105,ymiB,No COG Annotation
b1286,1346977,1348912,-,rnb,1935,rnb,Transcription
b1287,1348979,1350107,-,yciW,1128,yciW,Function unknown
b1288,1350250,1351039,-,fabI,789,fabI,Lipid transport and metabolism
b1289,1351406,1351760,-,ycjD,354,ycjD,Function unknown
b1290,1351827,1352634,-,sapF,807,sapABCDF,Defense mechanisms
b1291,1352635,1353628,-,sapD,993,sapABCDF,Defense mechanisms
b1292,1353627,1354518,-,sapC,891,sapABCDF,Defense mechanisms
b1293,1354504,1355470,-,sapB,966,sapABCDF,Defense mechanisms
b1294,1355466,1357110,-,sapA,1644,sapABCDF,Amino acid transport and metabolism
b1295,1357422,1357668,-,ymjA,246,ymjA,Function unknown
b1296,1357801,1359187,-,puuP,1386,puuAP,Amino acid transport and metabolism
b1297,1359489,1360908,-,puuA,1419,puuAP,Amino acid transport and metabolism
b1298,1361119,1361884,+,puuD,765,puuDRCBE,Function unknown
b1299,1361910,1362468,+,puuR,558,puuDRCBE,Transcription
b1300,1362742,1364230,+,puuC,1488,puuDRCBE,Energy production and conversion
b1301,1364231,1365512,+,puuB,1281,puuDRCBE,Energy production and conversion
b1302,1365549,1366815,+,puuE,1266,puuDRCBE,Amino acid transport and metabolism
b1303,1366934,1367912,-,pspF,978,pspF,Transcription
b1304,1368078,1368747,+,pspA,669,pspABCDE,Transcription
b1305,1368800,1369025,+,pspB,225,pspABCDE,Function unknown
b1306,1369024,1369384,+,pspC,360,pspABCDE,Function unknown
b1307,1369392,1369614,+,pspD,222,pspABCDE,"Posttranslational modification, protein turnover, chaperones"
b1308,1369688,1370003,+,pspE,315,pspABCDE,Inorganic ion transport and metabolism
b1309,1370215,1371895,+,ycjM,1680,ycjMNOPQRSTUV-ymjB,Carbohydrate transport and metabolism
b1310,1371908,1373201,+,ycjN,1293,ycjMNOPQRSTUV-ymjB,Carbohydrate transport and metabolism
b1311,1373221,1374103,+,ycjO,882,ycjMNOPQRSTUV-ymjB,Inorganic ion transport and metabolism
b1312,1374089,1374932,+,ycjP,843,ycjMNOPQRSTUV-ymjB,Carbohydrate transport and metabolism
b1313,1374962,1376015,+,ycjQ,1053,ycjMNOPQRSTUV-ymjB,Amino acid transport and metabolism
b1314,1376033,1376822,+,ycjR,789,ycjMNOPQRSTUV-ymjB,Carbohydrate transport and metabolism
b1315,1376831,1377887,+,ycjS,1056,ycjMNOPQRSTUV-ymjB,Function unknown
b1316,1377883,1380151,+,ycjT,2268,ycjMNOPQRSTUV-ymjB,Carbohydrate transport and metabolism
b1317,1380147,1380807,+,ycjU,660,ycjMNOPQRSTUV-ymjB,Function unknown
b4524_1,1380820,1381777,+,ycjV_1,957,ycjV_1,No COG Annotation
b4524_2,1381776,1381902,+,ycjV_2,126,ycjV_2,No COG Annotation
b1319,1381946,1382852,+,ompG,906,ompG,Cell wall/membrane/envelope biogenesis
b1320,1382962,1383961,-,ycjW,999,ycjW,Transcription
b1321,1384116,1385514,+,ycjX,1398,ycjXF-tyrR,Function unknown
b1322,1385510,1386572,+,ycjF,1062,ycjXF-tyrR,Function unknown
b1323,1386719,1388261,+,tyrR,1542,ycjXF-tyrR,Transcription
b1324,1388304,1388811,-,tpx,507,tpx,"Posttranslational modification, protein turnover, chaperones"
b1325,1388929,1389895,+,ycjG,966,ycjG,Cell wall/membrane/envelope biogenesis
b1326,1389869,1390598,-,mpaA,729,ycjY-ymjDC-mpaA,Amino acid transport and metabolism
b4525,1390724,1390862,-,ymjC,138,ycjY-ymjDC-mpaA,No COG Annotation
b4673,1390867,1390933,-,ymjD,66,ycjY-ymjDC-mpaA,No COG Annotation
b1327,1390932,1391853,-,ycjY,921,ycjY-ymjDC-mpaA,Function unknown
b1328,1391990,1392890,+,pgrR,900,pgrR,Transcription
b1329,1393226,1394840,+,mppA,1614,mppA,Amino acid transport and metabolism
b1330,1394890,1395922,-,ynaI,1032,ynaI,Cell wall/membrane/envelope biogenesis
b1331,1396075,1397092,+,insH1,1017,insH-4,"Replication, recombination and repair"
b1332,1397364,1397622,+,ynaJ,258,ynaJ,Function unknown
b1333,1397671,1398622,-,uspE,951,uspE,Signal transduction mechanisms
b1334,1398773,1399526,-,fnr,753,fnr,Signal transduction mechanisms
b1335,1399720,1400236,-,ogt,516,abgABT-ogt,"Replication, recombination and repair"
b1336,1400246,1401773,-,abgT,1527,abgABT-ogt,Coenzyme transport and metabolism
b1337,1401809,1403255,-,abgB,1446,abgABT-ogt,Amino acid transport and metabolism
b1338,1403254,1404565,-,abgA,1311,abgABT-ogt,Amino acid transport and metabolism
b1339,1404740,1405649,+,abgR,909,abgR,Transcription
b1340,1405978,1406542,+,smrA,564,smrA,Function unknown
b1341,1406562,1407795,-,ydaM,1233,dgcM,Signal transduction mechanisms
b1342,1408049,1409033,+,ydaN,984,zntB,Inorganic ion transport and metabolism
b1343,1409510,1410884,+,dbpA,1374,dbpA,"Replication, recombination and repair"
b1344,1411012,1411948,-,ttcA,936,ttcA,"Cell cycle control, cell division, chromosome partitioning"
b1345,1411999,1413235,-,intR,1236,recET-ralR-ydaC-xisR-intR,"Replication, recombination and repair"
b1346,1413236,1413452,-,ydaQ,216,recET-ralR-ydaC-xisR-intR,Function unknown
b1347,1413530,1413740,-,ydaC,210,recET-ralR-ydaC-xisR-intR,"Replication, recombination and repair"
b1348,1413732,1413927,-,ralR,195,recET-ralR-ydaC-xisR-intR,RNA processing and modification
b1349,1413983,1414793,-,recT,810,recET-ralR-ydaC-xisR-intR,"Replication, recombination and repair"
b1350,1414785,1417386,-,recE,2601,recET-ralR-ydaC-xisR-intR,"Replication, recombination and repair"
b1351,1417487,1417763,-,racC,276,racC,No COG Annotation
b4526,1417837,1418008,-,ydaE,171,kilR-ydaE,Function unknown
b1352,1418007,1418229,-,kilR,222,kilR-ydaE,No COG Annotation
b1353,1418670,1419159,+,sieB,489,sieB,No COG Annotation
b4527,1419155,1419311,-,ydaF,156,ydaGF,No COG Annotation
b1355,1419321,1419456,-,ydaG,135,ydaGF,No COG Annotation
b1356,1419764,1420241,-,racR,477,racR,Transcription
b1357,1420364,1420661,+,ydaS,297,ydaSTUVW-rzpR,No COG Annotation
b1358,1420683,1421106,+,ydaT,423,ydaSTUVW-rzpR,No COG Annotation
b1359,1421118,1421976,+,ydaU,858,ydaSTUVW-rzpR,Function unknown
b1360,1421982,1422729,+,ydaV,747,ydaSTUVW-rzpR,"Replication, recombination and repair"
b1361,1422700,1423200,+,ydaW,500,ydaSTUVW-rzpR,No COG Annotation
b1362,1423200,1423644,+,rzpR,444,ydaSTUVW-rzpR,No COG Annotation
b4528,1423399,1423585,+,rzoR,186,rzoR,No COG Annotation
b1363,1423781,1425239,+,trkG,1458,trkG,Inorganic ion transport and metabolism
b1365,1425376,1425640,+,ynaK,264,ynaK-ydaY,Transcription
b1366,1425629,1426082,+,ydaY,453,ynaK-ydaY,No COG Annotation
b1368,1426453,1427386,+,tmpR,933,ynaA-lomR_1,No COG Annotation
b4570_1,1427388,1427598,+,lomR_1,210,ynaA-lomR_1,No COG Annotation
b1370,1427745,1428726,-,insH1,981,insH-5,"Replication, recombination and repair"
b4570_2,1428795,1428984,+,lomR_2,189,lomR_2-stfR-tfaR,No COG Annotation
b1372,1429048,1432411,+,stfR,3363,lomR_2-stfR-tfaR,Function unknown
b1373,1432410,1432986,+,tfaR,576,lomR_2-stfR-tfaR,Function unknown
b1374,1433083,1433674,-,pinR,591,pinR,"Replication, recombination and repair"
b1375,1433990,1434224,-,ynaE,234,ynaE,Transcription
b4638,1434957,1435008,-,ttcC,51,ttcC,No COG Annotation
b1376,1435184,1435619,-,uspF,435,uspF,Signal transduction mechanisms
b1377,1435759,1436893,-,ompN,1134,ydbK-ompN,Cell wall/membrane/envelope biogenesis
b1378,1437259,1440784,-,pfo,3525,ydbK-ompN,Energy production and conversion
b4529,1441057,1441324,+,ydbJ,267,ydbJ,Function unknown
b1379,1441320,1441743,-,hslJ,423,hslJ,"Posttranslational modification, protein turnover, chaperones"
b1380,1441853,1442843,-,ldhA,990,ldhA,Energy production and conversion
b1381,1443050,1445690,+,ydbH,2640,ydbH-ynbE-ydbL,Function unknown
b1382,1445686,1445872,+,ynbE,186,ydbH-ynbE-ydbL,Function unknown
b1383,1445879,1446206,+,ydbL,327,ydbH-ynbE-ydbL,Function unknown
b1384,1446377,1447283,-,feaR,906,feaR,Transcription
b1385,1447518,1449018,+,feaB,1500,feaB,Energy production and conversion
b1386,1449075,1451349,-,tynA,2274,tynA,"Secondary metabolites biosynthesis, transport and catabolism"
b1387,1451596,1453642,-,paaZ,2046,paaZ,Lipid transport and metabolism
b1388,1453926,1454856,+,paaA,930,paaABCDEFGHIJK,"Secondary metabolites biosynthesis, transport and catabolism"
b1389,1454867,1455155,+,paaB,288,paaABCDEFGHIJK,"Secondary metabolites biosynthesis, transport and catabolism"
b1390,1455163,1455910,+,paaC,747,paaABCDEFGHIJK,"Secondary metabolites biosynthesis, transport and catabolism"
b1391,1455924,1456422,+,paaD,498,paaABCDEFGHIJK,Function unknown
b1392,1456429,1457500,+,paaE,1071,paaABCDEFGHIJK,Energy production and conversion
b1393,1457496,1458264,+,paaF,768,paaABCDEFGHIJK,Lipid transport and metabolism
b1394,1458263,1459052,+,paaG,789,paaABCDEFGHIJK,Lipid transport and metabolism
b1395,1459053,1460481,+,paaH,1428,paaABCDEFGHIJK,Lipid transport and metabolism
b1396,1460470,1460893,+,paaI,423,paaABCDEFGHIJK,"Secondary metabolites biosynthesis, transport and catabolism"
b1397,1460892,1462098,+,paaJ,1206,paaABCDEFGHIJK,Lipid transport and metabolism
b1398,1462124,1463438,+,paaK,1314,paaABCDEFGHIJK,"Secondary metabolites biosynthesis, transport and catabolism"
b1399,1463538,1464489,+,paaX,951,paaXY,Transcription
b1400,1464470,1465061,+,paaY,591,paaXY,Function unknown
b4674,1465164,1465230,-,ynbG,66,ynbG,No COG Annotation
b4492_1,1465391,1467904,+,ydbA_1,2513,ydbA_1,No COG Annotation
b1402,1467920,1468826,-,insD1,906,insCD-2C-2D-2,"Replication, recombination and repair"
b1403,1468783,1469149,-,insC1,366,insCD-2C-2D-2,"Replication, recombination and repair"
b4492_2,1469240,1469293,+,ydbA_2,53,ydbA_2,No COG Annotation
b1404,1469357,1470509,+,insI1,1152,insI-2,"Replication, recombination and repair"
b4492_3,1470516,1474013,+,ydbA_3,3497,ydbA_3,No COG Annotation
b1406,1474220,1475081,+,ydbC,861,pdxI,Energy production and conversion
b1407,1475143,1477450,+,ydbD,2307,ydbD,No COG Annotation
b1408,1477620,1478226,+,ynbA,606,ynbABCD,Lipid transport and metabolism
b1409,1478225,1479122,+,ynbB,897,ynbABCD,Lipid transport and metabolism
b1410,1479137,1480895,+,ynbC,1758,ynbABCD,Lipid transport and metabolism
b1411,1480908,1482201,+,ynbD,1293,ynbABCD,Lipid transport and metabolism
b1412,1482254,1482860,-,azoR,606,azoR,Lipid transport and metabolism
b1413,1483060,1486963,+,hrpA,3903,hrpA,"Replication, recombination and repair"
b1414,1487234,1488035,+,ydcF,801,ydcF,Function unknown
b1415,1488231,1489671,+,aldA,1440,aldA,Energy production and conversion
b4493_2,1489712,1489964,-,gapC_2,252,gapC_1C_2,No COG Annotation
b4493_1,1489963,1490713,-,gapC_1,750,gapC_1C_2,No COG Annotation
b1418,1490901,1491432,+,cybB,531,cybB,Energy production and conversion
b1419,1491676,1491850,+,ydcA,174,ydcA,No COG Annotation
b4428,1491921,1492071,-,hokB,150,hokB,Function unknown
b1420,1491961,1492129,-,mokB,168,mokB,No COG Annotation
b1421,1492469,1494110,+,trg,1641,trg,Function unknown
b1422,1494147,1495071,-,ydcI,924,ydcI,Transcription
b1423,1495287,1496631,+,ydcJ,1344,ydcJ,Function unknown
b1424,1496855,1498511,+,opgD,1656,opgD,Inorganic ion transport and metabolism
b1426,1498650,1498875,+,ydcH,225,ydcH,Function unknown
b1427,1498937,1499477,+,rimL,540,rimL,"Translation, ribosomal structure and biogenesis"
b1428,1499468,1500449,-,ydcK,981,ydcK,Function unknown
b1429,1500572,1501565,+,tehA,993,tehAB,Inorganic ion transport and metabolism
b1430,1501561,1502155,+,tehB,594,tehAB,"Secondary metabolites biosynthesis, transport and catabolism"
b1431,1502456,1503125,+,ydcL,669,ydcL,Function unknown
b4578,1503217,1503649,-,insP,432,insP,No COG Annotation
b1432,1503716,1504865,+,insQ,1149,insQ,"Replication, recombination and repair"
b1433,1504904,1506080,-,ydcO,1176,ydcO,"Secondary metabolites biosynthesis, transport and catabolism"
b1434,1506171,1506708,+,ydcN,537,sutR,Transcription
b1435,1506780,1508742,+,ydcP,1962,rlhA,"Posttranslational modification, protein turnover, chaperones"
b1436,1508833,1509064,-,yncJ,231,yncJ,Function unknown
b4532,1509285,1509462,+,hicA,177,hicAB,"Replication, recombination and repair"
b1438,1509507,1509924,+,hicB,417,hicAB,Function unknown
b1439,1510002,1511409,+,ydcR,1407,ydcR,Transcription
b1440,1511653,1512799,+,ydcS,1146,ydcSTUV-patD,Carbohydrate transport and metabolism
b1441,1512816,1513830,+,ydcT,1014,ydcSTUV-patD,Amino acid transport and metabolism
b1442,1513830,1514772,+,ydcU,942,ydcSTUV-patD,Inorganic ion transport and metabolism
b1443,1514761,1515556,+,ydcV,795,ydcSTUV-patD,Inorganic ion transport and metabolism
b1444,1515577,1517002,+,patD,1425,ydcSTUV-patD,Energy production and conversion
b4598,1517098,1517194,-,yncL,96,yncL,No COG Annotation
b1445,1517388,1517562,+,ydcX,174,ortT,Function unknown
b1446,1517647,1517881,+,ydcY,234,ydcY,Function unknown
b1447,1517881,1518331,-,ydcZ,450,mnaT-ydcZ,Function unknown
b1448,1518327,1518846,-,mnaT,519,mnaT-ydcZ,Cell wall/membrane/envelope biogenesis
b1449,1519026,1520064,+,curA,1038,curA,Function unknown
b1450,1520261,1520927,+,mcbR,666,mcbR,Transcription
b1451,1520962,1523065,-,yncD,2103,yncD,Inorganic ion transport and metabolism
b1452,1523306,1524368,+,yncE,1062,yncE,Function unknown
b1453,1524480,1525980,-,ansP,1500,ansP,Amino acid transport and metabolism
b1454,1526246,1526864,+,yncG,618,yncG,"Posttranslational modification, protein turnover, chaperones"
b1455,1526939,1527152,+,yncH,213,yncH,No COG Annotation
b1456,1527901,1529938,+,rhsE,2037,rhsE-ydcD,No COG Annotation
b1457,1529921,1530404,+,ydcD,483,rhsE-ydcD,No COG Annotation
b1459_1,1530585,1531323,+,yncI_1,738,yncM,No COG Annotation
b1459_2,1531324,1531639,+,yncI_2,315,yncM,No COG Annotation
b1460,1531815,1532952,+,ydcC,1137,ydcC,"Replication, recombination and repair"
b1461,1533051,1533285,+,pptA,234,pptA,Function unknown
b1462,1533281,1533851,-,yddH,570,yddH,Function unknown
b1463,1534023,1534869,+,nhoA,846,nhoA,"Secondary metabolites biosynthesis, transport and catabolism"
b1464,1534964,1535858,-,yddE,894,yddE,Function unknown
b1465,1535936,1536617,-,narV,681,narZYWV,Energy production and conversion
b1466,1536613,1537309,-,narW,696,narZYWV,Energy production and conversion
b1467,1537308,1538853,-,narY,1545,narZYWV,Energy production and conversion
b1468,1538849,1542590,-,narZ,3741,narZYWV,Energy production and conversion
b1469,1542671,1544060,-,narU,1389,narU,Inorganic ion transport and metabolism
b1471_2,1544383,1544764,-,yddK_2,381,yddLKJ,No COG Annotation
b1471_1,1544763,1545714,-,yddK_1,951,yddLKJ,No COG Annotation
b1472,1545749,1546028,-,yddL,279,yddLKJ,No COG Annotation
b1473,1546287,1547169,-,yddG,882,yddG,Amino acid transport and metabolism
b1474,1547400,1550448,+,fdnG,3048,fdnGHI,Energy production and conversion
b1475,1550460,1551345,+,fdnH,885,fdnGHI,Energy production and conversion
b1476,1551337,1551991,+,fdnI,654,fdnGHI,Energy production and conversion
b1477,1552397,1552682,-,yddM,285,yddM,Function unknown
b1478,1552827,1553838,-,adhP,1011,adhP,Energy production and conversion
b1479,1553971,1555669,-,maeA,1698,maeA,Energy production and conversion
b1480,1555825,1555963,-,sra,138,bdm-sra,"Translation, ribosomal structure and biogenesis"
b1481,1556064,1556280,-,bdm,216,bdm-sra,Function unknown
b1482,1556624,1557056,+,osmC,432,osmC,"Posttranslational modification, protein turnover, chaperones"
b1483,1557111,1558038,-,ddpF,927,ddpXABCDF,Amino acid transport and metabolism
b1484,1558030,1559017,-,ddpD,987,ddpXABCDF,Amino acid transport and metabolism
b1485,1559013,1559910,-,ddpC,897,ddpXABCDF,Inorganic ion transport and metabolism
b1486,1559906,1560929,-,ddpB,1023,ddpXABCDF,Inorganic ion transport and metabolism
b1487,1560930,1562481,-,ddpA,1551,ddpXABCDF,Amino acid transport and metabolism
b1488,1562494,1563076,-,ddpX,582,ddpXABCDF,Cell wall/membrane/envelope biogenesis
b1489,1563333,1565733,-,dosP,2400,dosCP,Signal transduction mechanisms
b1490,1565757,1567140,-,dosC,1383,dosCP,Signal transduction mechanisms
b1491,1567503,1568823,-,yddW,1320,yddW,Function unknown
b1492,1568953,1570489,-,gadC,1536,gadBC,Amino acid transport and metabolism
b1493,1570644,1572045,-,gadB,1401,gadBC,Amino acid transport and metabolism
b1494,1572406,1575202,-,pqqL,2796,pqqL,"Posttranslational modification, protein turnover, chaperones"
b1495,1575246,1577619,-,yddB,2373,yddAB,Inorganic ion transport and metabolism
b1496,1577656,1579342,-,yddA,1686,yddAB,Function unknown
b1497,1579632,1580790,-,ydeM,1158,ydeNM,Function unknown
b1498,1580841,1582524,-,ydeN,1683,ydeNM,Inorganic ion transport and metabolism
b1499,1582925,1583687,-,ydeO,762,safA-ydeO,Transcription
b1500,1583761,1583959,-,safA,198,safA-ydeO,No COG Annotation
b1501,1584206,1586486,-,ydeP,2280,ydeP,Energy production and conversion
b1502,1586819,1587734,-,ydeQ,915,ydeQ,Function unknown
b1503,1587792,1588296,-,ydeR,504,ydeTSR,Function unknown
b1504,1588308,1588839,-,ydeS,531,ydeTSR,Function unknown
b1505,1588852,1590079,-,ydeT,1227,ydeTSR,No COG Annotation
b1506_2,1590333,1590426,-,yneL_2,93,yneL,No COG Annotation
b1506_1,1590425,1590536,-,yneL_1,111,yneL,No COG Annotation
b1507,1590853,1592176,-,hipA,1323,hipBA,Function unknown
b1508,1592175,1592442,-,hipB,267,hipBA,Transcription
b4696_2,1592664,1594125,-,yneO_2,1461,ydeK,No COG Annotation
b4696_1,1594126,1597987,-,yneO_1,3861,ydeK,No COG Annotation
